State,Year,Population_12_17,Population_18_25,Population_26plus,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Rates_Marijuana_Used_Past_Month_12_17,Rates_Marijuana_Used_Past_Month_18_25,Rates_Marijuana_Used_Past_Month_26plus
Iowa,2007,244378,340717,1894591,0.045071,0.050472,0.000946,0.051285,0.086173,0.020907
Kansas,2007,232244,321431,1708875,0.052933,0.064661,0.001074,0.062671,0.134736,0.033667
Kentucky,2007,339631,425520,2745161,0.064848,0.06256,0.00138,0.063754,0.159251,0.039568
Louisiana,2007,370852,513946,2648484,0.045225,0.054396,0.001153,0.052254,0.136458,0.033121
Maine,2007,102760,125395,897986,0.064102,0.085001,0.001427,0.091257,0.233801,0.059255
Maryland,2007,469557,598009,3582541,0.059261,0.077087,0.001199,0.062834,0.165953,0.034201
Massachusetts,2007,506225,733229,4219456,0.071578,0.090986,0.001468,0.081371,0.220109,0.043569
Michigan,2007,869168,1086307,6405116,0.05684,0.079897,0.001338,0.073572,0.19204,0.048992
Minnesota,2007,429517,576248,3308617,0.048991,0.081142,0.001305,0.066002,0.20953,0.047757
Mississippi,2007,256834,329777,1764673,0.042006,0.046892,0.000999,0.044608,0.115221,0.030647
Missouri,2007,488564,623849,3738674,0.053217,0.064418,0.001256,0.062987,0.152859,0.03651
Montana,2007,78003,105436,621245,0.067982,0.08564,0.001144,0.086464,0.229928,0.058073
Nebraska,2007,147219,208669,1092664,0.050072,0.050746,0.001029,0.063213,0.13505,0.031573
Nevada,2007,213693,241972,1646368,0.057274,0.062291,0.00154,0.075762,0.163176,0.045621
New Hampshire,2007,109279,132548,872225,0.069438,0.108794,0.00169,0.094315,0.265339,0.063186
New Jersey,2007,715118,858459,5652902,0.041979,0.058112,0.001033,0.056908,0.159904,0.03045
New Mexico,2007,167079,226011,1217991,0.071208,0.08571,0.001127,0.08271,0.164127,0.039592
New York,2007,1559314,2218415,12500501,0.057224,0.067316,0.00126,0.078263,0.213108,0.042833
North Carolina,2007,730031,926614,5782173,0.064608,0.064289,0.001352,0.069071,0.165556,0.042148
North Dakota,2007,49767,89213,391328,0.05115,0.067023,0.000922,0.053393,0.115541,0.034934
Ohio,2007,956958,1210200,7350420,0.059706,0.07031,0.001348,0.074474,0.168494,0.038394
Oklahoma,2007,295908,408764,2229744,0.048585,0.054592,0.001008,0.059809,0.115718,0.034142
Oregon,2007,295639,383360,2477185,0.070909,0.09469,0.001692,0.081648,0.218897,0.064941
Pennsylvania,2007,998611,1325852,8116495,0.053507,0.067257,0.001071,0.069422,0.153238,0.032944
Rhode Island,2007,83372,126249,680188,0.07462,0.106563,0.001561,0.093888,0.303829,0.074418
South Carolina,2007,359862,460337,2817192,0.048,0.05519,0.001148,0.054479,0.135721,0.035268
South Dakota,2007,66089,90910,494494,0.049303,0.064794,0.000963,0.061207,0.144867,0.034563
Tennessee,2007,496878,616545,3996018,0.04804,0.056401,0.001258,0.061191,0.168422,0.041083
Texas,2007,2107904,2702238,14256754,0.048825,0.049611,0.001144,0.057441,0.116967,0.028572
Utah,2007,248473,374336,1458451,0.038185,0.029575,0.001046,0.050748,0.098002,0.027512
Vermont,2007,49626,68089,417049,0.075163,0.104911,0.001444,0.109299,0.29685,0.068972
Virginia,2007,612162,820128,4873378,0.05662,0.06953,0.001423,0.067577,0.165384,0.038276
Washington,2007,528584,673412,4199736,0.05376,0.071441,0.00159,0.07146,0.173358,0.057558
West Virginia,2007,134149,177189,1224679,0.050883,0.057211,0.001079,0.062538,0.142878,0.032675
Wisconsin,2007,460365,613671,3601989,0.060349,0.074973,0.001228,0.072439,0.18041,0.043122
Wyoming,2007,42535,59260,332809,0.064904,0.072751,0.001141,0.072743,0.152034,0.03653
Alabama,2008,379377,505718,2974610,0.044659,0.05528,0.001161,0.056982,0.144948,0.033529
Alaska,2008,60678,77131,409778,0.063478,0.073291,0.001705,0.091426,0.251573,0.093036
Arizona,2008,538865,686141,4050064,0.061007,0.065833,0.001244,0.072811,0.170793,0.048591
Arkansas,2008,231516,295741,1818264,0.051486,0.069879,0.001231,0.067252,0.161576,0.043957
California,2008,3147890,4329856,22568441,0.066644,0.073858,0.001385,0.077004,0.186706,0.055653
Colorado,2008,384709,527605,3153539,0.081132,0.092346,0.001693,0.101734,0.24181,0.073098
Connecticut,2008,287870,363648,2276860,0.070949,0.089825,0.001365,0.08346,0.225566,0.046994
Delaware,2008,68911,93807,564013,0.066653,0.095529,0.001367,0.075448,0.226733,0.0429
District of Columbia,2008,35726,86607,385608,0.072511,0.083802,0.002443,0.074972,0.195891,0.060673
Florida,2008,1348640,1804515,12261205,0.053453,0.062188,0.001047,0.063121,0.152105,0.043509
Georgia,2008,822696,1013813,5963681,0.054625,0.068952,0.001671,0.055034,0.158672,0.044626
Hawaii,2008,93198,131005,828273,0.064159,0.075691,0.001146,0.077198,0.191485,0.068406
Idaho,2008,132962,164370,930335,0.054951,0.071773,0.001254,0.075024,0.141286,0.042057
Illinois,2008,1065750,1461607,8068047,0.056544,0.068488,0.001157,0.072873,0.162321,0.038588
Indiana,2008,529845,679069,4034745,0.058131,0.0737,0.001104,0.072384,0.164805,0.041743
Iowa,2008,240105,339894,1905387,0.053415,0.059712,0.000953,0.068807,0.116232,0.029243
Kansas,2008,229136,321796,1723761,0.056542,0.068497,0.000995,0.059702,0.130389,0.033965
Kentucky,2008,336896,428585,2771834,0.054605,0.060867,0.001392,0.052702,0.14246,0.032714
Louisiana,2008,370950,523818,2716104,0.038883,0.055345,0.001176,0.048155,0.151901,0.032556
Maine,2008,99629,125205,902774,0.054266,0.089731,0.001406,0.084288,0.261287,0.076914
Maryland,2008,459954,611079,3612130,0.056125,0.081974,0.001163,0.070136,0.170265,0.035552
Massachusetts,2008,498720,758227,4263188,0.071302,0.096895,0.001608,0.090888,0.248419,0.058375
Michigan,2008,842712,1086902,6402870,0.059749,0.087222,0.001345,0.078844,0.189865,0.055212
Minnesota,2008,421196,574322,3344152,0.048539,0.078855,0.001157,0.055844,0.171003,0.041301
Mississippi,2008,252527,331040,1778519,0.040899,0.052245,0.001115,0.050248,0.117201,0.031458
Missouri,2008,482442,626322,3786858,0.051104,0.071205,0.001204,0.057426,0.169066,0.041527
Montana,2008,76196,105444,629651,0.066719,0.097927,0.001275,0.087838,0.219899,0.057238
Nebraska,2008,144863,208854,1100620,0.044827,0.063231,0.000971,0.060883,0.14699,0.035029
Nevada,2008,214026,246764,1668924,0.071596,0.065514,0.00145,0.089631,0.183422,0.05057
New Hampshire,2008,106508,133724,880070,0.062904,0.105347,0.001486,0.096595,0.272807,0.069093
New Jersey,2008,702953,871610,5658877,0.048922,0.076888,0.001011,0.061623,0.174215,0.029863
New Mexico,2008,163513,227941,1230799,0.078446,0.080087,0.001233,0.092468,0.15738,0.044924
New York,2008,1535172,2262614,12574826,0.060525,0.073843,0.001346,0.085013,0.230887,0.04867
North Carolina,2008,727969,947518,5878891,0.062377,0.066701,0.001324,0.071924,0.168518,0.044864
North Dakota,2008,48559,88745,395073,0.04282,0.065944,0.000843,0.050577,0.106528,0.033003
Ohio,2008,939669,1213022,7401492,0.05593,0.074706,0.001279,0.076319,0.17263,0.038871
Oklahoma,2008,293240,409494,2253581,0.048654,0.057667,0.001091,0.062312,0.141847,0.039626
Oregon,2008,292301,386957,2507377,0.078746,0.096276,0.001895,0.086555,0.238712,0.071096
Pennsylvania,2008,980441,1342616,8192882,0.053672,0.074715,0.001044,0.071946,0.170768,0.037977
Rhode Island,2008,81128,127468,679594,0.071963,0.09161,0.001612,0.090916,0.271445,0.069428
South Carolina,2008,356186,469765,2872669,0.047737,0.064086,0.001184,0.055453,0.168815,0.041604
South Dakota,2008,64983,90798,500732,0.051693,0.067,0.00093,0.066119,0.135474,0.034383
Tennessee,2008,494043,622376,4049989,0.041055,0.059952,0.001201,0.051871,0.166391,0.037243
Texas,2008,2113980,2737418,14523007,0.052017,0.058589,0.001143,0.061057,0.134467,0.029057
Utah,2008,252460,376060,1500232,0.039417,0.036412,0.001033,0.047849,0.082093,0.022704
Vermont,2008,47705,68523,419240,0.07372,0.119301,0.001533,0.097333,0.305584,0.077549
Virginia,2008,604833,835958,4928699,0.059806,0.075869,0.001332,0.06331,0.157021,0.034495
Washington,2008,522369,685351,4262578,0.056826,0.085304,0.001593,0.077353,0.17194,0.055324
West Virginia,2008,132189,176668,1229556,0.053306,0.057617,0.001163,0.057434,0.174597,0.037415
Wisconsin,2008,450304,615402,3632151,0.061569,0.083917,0.00115,0.071997,0.174881,0.041638
Wyoming,2008,42168,60175,339021,0.064722,0.076961,0.00107,0.07553,0.155033,0.033653
Alabama,2009,375942,515510,2993410,0.045413,0.057413,0.001323,0.057453,0.139016,0.032954
Alaska,2009,58753,81679,414553,0.068671,0.081597,0.002395,0.086358,0.244636,0.098197
Arizona,2009,538672,698979,4111148,0.063267,0.063538,0.001716,0.075801,0.159488,0.047825
Arkansas,2009,231881,301928,1833369,0.050029,0.062495,0.00137,0.06384,0.13879,0.039581
California,2009,3101979,4325900,22773074,0.068778,0.074041,0.002039,0.085956,0.199448,0.059631
Colorado,2009,381533,549726,3192744,0.093085,0.096112,0.0021,0.099088,0.263492,0.088579
Connecticut,2009,283906,375156,2285109,0.072289,0.105073,0.001488,0.088613,0.235559,0.049582
Delaware,2009,67805,94200,572665,0.072456,0.092415,0.001442,0.084937,0.210535,0.04478
District of Columbia,2009,34683,86622,392811,0.07527,0.094427,0.002022,0.093062,0.21136,0.076694
Florida,2009,1336737,1850052,12361513,0.056871,0.064015,0.001402,0.06916,0.17224,0.043318
Georgia,2009,820145,1050786,6022823,0.060873,0.06584,0.001501,0.064219,0.149104,0.037269
Hawaii,2009,91104,131160,827725,0.068462,0.082371,0.002116,0.078972,0.198945,0.059664
Idaho,2009,131965,171302,939631,0.057095,0.075191,0.001627,0.076283,0.164873,0.0556
Illinois,2009,1053276,1460312,8097288,0.056662,0.076858,0.00139,0.075303,0.187865,0.041477
Indiana,2009,525525,701086,4047093,0.056354,0.070173,0.001317,0.066832,0.174959,0.04045
Iowa,2009,236022,350071,1908202,0.059671,0.07043,0.001318,0.069401,0.142729,0.029911
Kansas,2009,226545,330970,1730522,0.05609,0.064838,0.001424,0.064218,0.140734,0.035181
Kentucky,2009,334420,446645,2781361,0.051507,0.061784,0.00152,0.054407,0.14256,0.0293
Louisiana,2009,367519,527254,2756163,0.041064,0.05587,0.001424,0.052811,0.157613,0.031654
Maine,2009,96374,128182,903556,0.059333,0.09053,0.001553,0.089356,0.273381,0.073598
Maryland,2009,452038,616208,3653639,0.055942,0.080141,0.001216,0.070738,0.190067,0.038128
Massachusetts,2009,494016,766014,4324616,0.080167,0.098247,0.00184,0.10272,0.279755,0.069233
Michigan,2009,822105,1097830,6398696,0.060387,0.089292,0.001469,0.080901,0.200577,0.064719
Minnesota,2009,413410,583280,3372460,0.054237,0.07649,0.001445,0.060923,0.167565,0.040472
Mississippi,2009,248816,336097,1784646,0.041618,0.052912,0.001329,0.052236,0.12574,0.031481
Missouri,2009,476436,643637,3819620,0.056103,0.065009,0.001425,0.064236,0.174365,0.041818
Montana,2009,73735,110260,633252,0.075259,0.116843,0.001847,0.096084,0.227135,0.068431
Nebraska,2009,142549,214428,1106278,0.045193,0.064402,0.001346,0.06296,0.15443,0.039814
Nevada,2009,212438,257198,1680228,0.065137,0.06373,0.001773,0.076103,0.181645,0.052205
New Hampshire,2009,103281,140176,883622,0.074198,0.106096,0.001678,0.115103,0.282909,0.068841
New Jersey,2009,695052,873788,5686972,0.060017,0.087198,0.001453,0.072054,0.179525,0.035774
New Mexico,2009,161555,228756,1244885,0.082723,0.081207,0.00236,0.0934,0.19248,0.05411
New York,2009,1509858,2236966,12648267,0.05709,0.074308,0.001641,0.085781,0.214614,0.052197
North Carolina,2009,723670,986404,5935653,0.05358,0.068498,0.001313,0.070991,0.197213,0.049574
North Dakota,2009,47211,92922,397148,0.045227,0.061355,0.001279,0.044013,0.099789,0.027075
Ohio,2009,924820,1214036,7442306,0.056801,0.075904,0.001379,0.076143,0.183419,0.038123
Oklahoma,2009,292084,419077,2272080,0.055546,0.060702,0.001599,0.071711,0.173637,0.049399
Oregon,2009,288096,401242,2525156,0.074868,0.09059,0.001951,0.094631,0.23883,0.08105
Pennsylvania,2009,962444,1360835,8272159,0.058092,0.082729,0.001252,0.074038,0.191828,0.038772
Rhode Island,2009,79655,129145,684072,0.071737,0.101317,0.001903,0.096273,0.298323,0.073444
South Carolina,2009,352096,480982,2912325,0.048852,0.070679,0.001255,0.057415,0.175925,0.040967
South Dakota,2009,63682,93602,505557,0.048353,0.070433,0.001382,0.055108,0.133074,0.033179
Tennessee,2009,491069,646257,4079971,0.042573,0.066548,0.001341,0.053358,0.141703,0.030926
Texas,2009,2125058,2813275,14745138,0.054812,0.064815,0.001605,0.064903,0.147401,0.034643
Utah,2009,254680,379390,1528461,0.040253,0.039633,0.001622,0.03675,0.077419,0.018973
Vermont,2009,45631,72557,419057,0.082052,0.124663,0.001703,0.106452,0.320093,0.081524
Virginia,2009,598313,865844,4976551,0.05642,0.076452,0.001379,0.067425,0.173969,0.037343
Washington,2009,516464,706882,4324124,0.062072,0.093696,0.001928,0.080059,0.227394,0.066933
West Virginia,2009,130503,183731,1227612,0.055586,0.064012,0.001437,0.061417,0.188903,0.040312
Wisconsin,2009,440921,634912,3641561,0.063619,0.070396,0.001328,0.0687,0.15811,0.037605
Wyoming,2009,41288,62918,342522,0.065913,0.079664,0.001607,0.070735,0.152612,0.033518
Alabama,2010,386718,535455,3052348,0.046016,0.055941,0.001186,0.058274,0.142542,0.036742
Alaska,2010,61192,77636,424976,0.075084,0.084852,0.003763,0.10133,0.245936,0.091815
Arizona,2010,535234,700156,4014024,0.065199,0.070161,0.001889,0.086906,0.158636,0.053045
Arkansas,2010,234810,316170,1851278,0.050917,0.056705,0.001123,0.054889,0.139972,0.033198
California,2010,3195149,4379387,23321879,0.071888,0.083529,0.002439,0.096231,0.2112,0.061146
Colorado,2010,395318,548890,3212230,0.091675,0.095717,0.002292,0.107136,0.270207,0.079501
Connecticut,2010,293487,364200,2350212,0.067089,0.088482,0.001956,0.088313,0.208153,0.049083
Delaware,2010,69567,99853,583371,0.072242,0.09843,0.002148,0.090886,0.198701,0.041265
District of Columbia,2010,31644,98663,399778,0.079708,0.114586,0.00451,0.109737,0.227546,0.07558
Florida,2010,1383191,1933760,12708633,0.05471,0.072213,0.00162,0.069053,0.185962,0.042534
Georgia,2010,821577,1066108,5997840,0.060986,0.055241,0.001643,0.062721,0.141449,0.030268
Hawaii,2010,99395,134011,878476,0.071808,0.077147,0.00272,0.087555,0.168174,0.043987
Idaho,2010,137928,172570,956472,0.055538,0.063054,0.001251,0.073899,0.152792,0.053594
Illinois,2010,1069760,1393734,8165781,0.056685,0.075273,0.001862,0.073455,0.198484,0.046688
Indiana,2010,540996,726313,4081667,0.051576,0.072859,0.001334,0.058847,0.175231,0.046188
Iowa,2010,241547,344598,1944254,0.053362,0.072199,0.001222,0.062948,0.163777,0.032191
Kansas,2010,235977,319632,1761207,0.062859,0.065141,0.001357,0.062539,0.147702,0.036269
Kentucky,2010,340083,456240,2789768,0.056431,0.054213,0.001322,0.058698,0.15594,0.035072
Louisiana,2010,368184,525362,2810803,0.046886,0.05305,0.001479,0.056093,0.135897,0.029267
Maine,2010,98025,129424,913496,0.063783,0.087563,0.001849,0.086686,0.235707,0.056412
Maryland,2010,464119,622291,3742499,0.058527,0.066953,0.002092,0.065494,0.174974,0.031232
Massachusetts,2010,498579,763633,4320664,0.082057,0.10119,0.002744,0.111513,0.2859,0.067141
Michigan,2010,826549,1088897,6365041,0.061711,0.084756,0.001876,0.081531,0.209826,0.06484
Minnesota,2010,426996,571065,3419350,0.05804,0.071786,0.001885,0.072178,0.189096,0.04062
Mississippi,2010,249977,333665,1819793,0.049852,0.049128,0.001271,0.06141,0.144326,0.039582
Missouri,2010,478541,653980,3823426,0.06024,0.055127,0.001474,0.071918,0.184372,0.03731
Montana,2010,74688,106003,651403,0.091926,0.101056,0.001891,0.101296,0.262827,0.074627
Nebraska,2010,146828,205186,1143103,0.048134,0.059994,0.001426,0.061898,0.144184,0.034582
Nevada,2010,219015,279716,1733566,0.070641,0.083724,0.001967,0.082907,0.192767,0.057693
New Hampshire,2010,104712,137371,883019,0.081548,0.100791,0.002249,0.113879,0.276447,0.049543
New Jersey,2010,717188,866637,5785457,0.06609,0.083959,0.002188,0.079447,0.192928,0.045202
New Mexico,2010,170679,225076,1293249,0.087359,0.083477,0.002166,0.09527,0.210506,0.057743
New York,2010,1497645,2236959,12651349,0.057246,0.072111,0.002352,0.07937,0.196376,0.05283
North Carolina,2010,752637,1007676,6102077,0.060641,0.078027,0.001323,0.08024,0.208524,0.04625
North Dakota,2010,49024,89035,423460,0.049049,0.061069,0.00144,0.055367,0.118746,0.024749
Ohio,2010,938484,1227142,7436917,0.057705,0.075047,0.001639,0.069457,0.181524,0.043201
Oklahoma,2010,301684,420490,2336963,0.055016,0.05575,0.001314,0.069053,0.150335,0.046955
Oregon,2010,291949,408353,2544311,0.070139,0.089386,0.001901,0.100674,0.254129,0.089083
Pennsylvania,2010,977609,1402639,8359212,0.056243,0.081123,0.001676,0.070043,0.182619,0.041377
Rhode Island,2010,79365,132016,682132,0.078503,0.110835,0.002476,0.116345,0.313992,0.083121
South Carolina,2010,356898,510126,2966560,0.05981,0.063499,0.00135,0.065124,0.164194,0.039525
South Dakota,2010,64595,90572,509409,0.052961,0.059786,0.001403,0.062288,0.130178,0.031634
Tennessee,2010,502882,675875,4110667,0.050097,0.062563,0.001328,0.058871,0.149263,0.037224
Texas,2010,2243713,2871691,15188973,0.053982,0.066192,0.001504,0.061431,0.145033,0.033972
Utah,2010,262463,362693,1532125,0.043559,0.042625,0.000945,0.041664,0.080409,0.0234
Vermont,2010,46814,72220,420783,0.093546,0.091072,0.002348,0.137695,0.343593,0.088665
Virginia,2010,620009,874464,5117877,0.059103,0.077178,0.001844,0.069789,0.182321,0.036072
Washington,2010,531313,729323,4373484,0.070543,0.087041,0.002215,0.097657,0.256007,0.071218
West Virginia,2010,131816,188497,1252067,0.062838,0.076877,0.001172,0.070736,0.198123,0.037357
Wisconsin,2010,455693,617748,3678180,0.050872,0.061136,0.001602,0.070246,0.163828,0.041768
Wyoming,2010,42751,62674,358902,0.057743,0.060878,0.001328,0.060772,0.136058,0.033573
Alabama,2011,385060,536921,3073532,0.049418,0.059523,0.001111,0.056178,0.143431,0.033842
Alaska,2011,60614,80497,432040,0.066957,0.086467,0.004221,0.100066,0.247744,0.111808
Arizona,2011,537268,709377,4077362,0.064543,0.07634,0.002233,0.083663,0.171975,0.053283
Arkansas,2011,235330,317333,1864363,0.051741,0.057334,0.001294,0.060093,0.147087,0.03605
California,2011,3156459,4427350,23658234,0.068288,0.088187,0.002464,0.088284,0.217413,0.067418
Colorado,2011,397449,556502,3270160,0.074917,0.094264,0.002458,0.104707,0.268145,0.076328
Connecticut,2011,290956,369988,2363818,0.066258,0.093216,0.002276,0.087186,0.236636,0.060139
Delaware,2011,69055,101269,590737,0.073237,0.099408,0.002373,0.095798,0.209529,0.0495
District of Columbia,2011,31373,96533,411604,0.083679,0.116866,0.005169,0.093503,0.244882,0.072386
Florida,2011,1381693,1959129,12916437,0.056374,0.070311,0.001681,0.070285,0.190181,0.047279
Georgia,2011,824731,1085263,6074730,0.056296,0.059765,0.001595,0.072017,0.166463,0.038805
Hawaii,2011,97800,138119,887821,0.071013,0.081484,0.00313,0.096872,0.181542,0.056945
Idaho,2011,139014,173198,969335,0.053987,0.061527,0.001604,0.062064,0.130872,0.037652
Illinois,2011,1057464,1393927,8215103,0.056975,0.077633,0.001904,0.069398,0.202745,0.04791
Indiana,2011,540292,729904,4108332,0.054914,0.075722,0.001709,0.062483,0.167842,0.043144
Iowa,2011,241228,346249,1956812,0.055788,0.072569,0.001334,0.066547,0.168444,0.041307
Kansas,2011,236049,321178,1772671,0.050761,0.067218,0.001459,0.054686,0.113433,0.025518
Kentucky,2011,339685,459703,2803041,0.054288,0.057901,0.001482,0.060605,0.173521,0.036452
Louisiana,2011,367339,524049,2841017,0.043358,0.061816,0.001559,0.050068,0.130044,0.030154
Maine,2011,96430,129601,918180,0.067226,0.084177,0.002231,0.089427,0.226617,0.062943
Maryland,2011,459636,628350,3789736,0.060969,0.077133,0.002015,0.075391,0.175341,0.036595
Massachusetts,2011,494412,768767,4368462,0.076635,0.110912,0.002827,0.105807,0.257718,0.063379
Michigan,2011,814217,1098296,6392662,0.064592,0.084179,0.002045,0.088938,0.221251,0.066092
Minnesota,2011,424745,570686,3457060,0.056205,0.080593,0.002065,0.072741,0.175796,0.043253
Mississippi,2011,248417,335677,1830270,0.04709,0.058159,0.001278,0.063181,0.158616,0.038803
Missouri,2011,475157,654561,3846810,0.059242,0.062801,0.001499,0.072789,0.174071,0.038303
Montana,2011,74042,107193,657558,0.083974,0.099672,0.002073,0.095551,0.265111,0.079432
Nebraska,2011,147027,205521,1153600,0.052071,0.069503,0.001514,0.065293,0.148266,0.0374
Nevada,2011,219786,282581,1757473,0.070525,0.090902,0.002187,0.087663,0.200119,0.064351
New Hampshire,2011,102838,138951,888797,0.0787,0.115815,0.002612,0.096056,0.263713,0.054067
New Jersey,2011,710612,876279,5826415,0.059936,0.080175,0.001828,0.068503,0.192595,0.039585
New Mexico,2011,169342,226502,1303353,0.089347,0.078908,0.002433,0.098174,0.213495,0.069354
New York,2011,1474700,2242476,12760358,0.056847,0.079295,0.002414,0.078636,0.213476,0.059805
North Carolina,2011,757390,1024771,6176978,0.05555,0.067393,0.001331,0.076909,0.192801,0.042425
North Dakota,2011,48873,91747,430829,0.045192,0.068158,0.001577,0.060163,0.144436,0.030719
Ohio,2011,929629,1230773,7466946,0.063093,0.079385,0.001805,0.075317,0.192217,0.053882
Oklahoma,2011,304074,423379,2358834,0.056329,0.058127,0.001598,0.063675,0.1414,0.045468
Oregon,2011,291972,409608,2575672,0.065338,0.097673,0.002718,0.098649,0.258063,0.102506
Pennsylvania,2011,964004,1405623,8405726,0.054267,0.08308,0.001742,0.068702,0.175439,0.041975
Rhode Island,2011,77839,132549,684237,0.086093,0.10944,0.002613,0.124411,0.301577,0.097447
South Carolina,2011,357301,513846,3005444,0.063509,0.064147,0.001512,0.072413,0.192365,0.051518
South Dakota,2011,64463,91190,516437,0.050978,0.063066,0.001532,0.06444,0.139457,0.042843
Tennessee,2011,504106,683640,4150263,0.052341,0.058729,0.00139,0.059182,0.147022,0.038117
Texas,2011,2265694,2919940,15484139,0.052623,0.068939,0.001473,0.063221,0.137608,0.032984
Utah,2011,268417,363323,1563689,0.03675,0.042204,0.001063,0.051232,0.098319,0.030353
Vermont,2011,45855,72804,422511,0.094341,0.091215,0.002863,0.133563,0.33179,0.093389
Virginia,2011,618558,885563,5187508,0.063886,0.082646,0.00201,0.066097,0.170611,0.034406
Washington,2011,528978,735790,4437371,0.066267,0.083495,0.002379,0.094486,0.234442,0.081069
West Virginia,2011,131265,189182,1253581,0.067487,0.076737,0.001306,0.06634,0.17545,0.03292
Wisconsin,2011,451821,617016,3706797,0.051987,0.065545,0.00173,0.077821,0.181832,0.046534
Wyoming,2011,42890,63165,364101,0.054178,0.060296,0.001609,0.059995,0.130589,0.043608
Alabama,2012,383469,536933,3094837,0.047793,0.059105,0.001261,0.048132,0.13931,0.034086
Alaska,2012,60264,82442,434523,0.060099,0.083802,0.004996,0.087288,0.210617,0.106027
Arizona,2012,540502,720761,4141839,0.065335,0.072767,0.002604,0.082504,0.185379,0.059773
Arkansas,2012,236508,318730,1873816,0.058017,0.06035,0.001875,0.056791,0.142836,0.042338
California,2012,3117442,4458805,24005740,0.060075,0.083682,0.002611,0.078021,0.216443,0.067234
Colorado,2012,402137,565276,3332461,0.079202,0.099404,0.00375,0.111633,0.290498,0.10128
Connecticut,2012,288704,376034,2375197,0.073655,0.090961,0.002409,0.085655,0.244057,0.065497
Delaware,2012,68333,102080,599773,0.073877,0.090933,0.002424,0.091523,0.207475,0.056755
District of Columbia,2012,30856,94677,424447,0.090718,0.108464,0.004603,0.098923,0.255291,0.091442
Florida,2012,1385416,1972330,13133353,0.061447,0.070068,0.001852,0.075221,0.190938,0.051206
Georgia,2012,831609,1100053,6155586,0.05497,0.062082,0.001697,0.071393,0.181265,0.059287
Hawaii,2012,97086,140225,896059,0.065953,0.074992,0.003828,0.09552,0.188385,0.069064
Idaho,2012,140843,173004,983206,0.05564,0.057817,0.002157,0.056143,0.140537,0.040277
Illinois,2012,1045769,1394500,8256950,0.054938,0.076295,0.002076,0.06262,0.20074,0.048237
Indiana,2012,541016,734767,4135390,0.052653,0.078044,0.002083,0.059709,0.177279,0.04282
Iowa,2012,241811,349004,1968010,0.050792,0.077228,0.001813,0.062465,0.163095,0.041184
Kansas,2012,237185,323430,1779494,0.043006,0.065538,0.001781,0.05089,0.122326,0.02896
Kentucky,2012,339960,464737,2815636,0.04577,0.06643,0.00173,0.050749,0.165595,0.03531
Louisiana,2012,367827,521917,2870080,0.050283,0.060995,0.001589,0.05094,0.145845,0.033328
Maine,2012,94988,128694,923093,0.062973,0.106022,0.002668,0.092609,0.247109,0.079523
Maryland,2012,457152,631368,3837914,0.068337,0.08647,0.002142,0.07505,0.199877,0.047287
Massachusetts,2012,491273,775063,4420226,0.065645,0.118002,0.002911,0.089,0.26641,0.070714
Michigan,2012,805764,1107310,6419614,0.069843,0.087122,0.002507,0.091255,0.221508,0.076361
Minnesota,2012,424639,571439,3494114,0.047712,0.077598,0.002458,0.066868,0.171395,0.043747
Mississippi,2012,247257,337204,1839846,0.044575,0.0585,0.001347,0.051301,0.1516,0.032562
Missouri,2012,472889,655094,3869695,0.06227,0.078913,0.002038,0.071044,0.201512,0.04883
Montana,2012,73896,108999,663344,0.061232,0.087485,0.002637,0.086819,0.230417,0.08438
Nebraska,2012,148030,207051,1162770,0.055352,0.059729,0.001857,0.062441,0.150702,0.036798
Nevada,2012,221167,285463,1788826,0.060721,0.075439,0.002708,0.08329,0.185582,0.062526
New Hampshire,2012,101207,140004,894572,0.078344,0.131745,0.003188,0.096203,0.277749,0.069851
New Jersey,2012,706126,884775,5868068,0.054411,0.071729,0.001821,0.053769,0.154776,0.036403
New Mexico,2012,168112,228037,1308966,0.080141,0.069736,0.00307,0.09219,0.193347,0.072261
New York,2012,1456617,2243318,12875810,0.058223,0.076579,0.002491,0.081249,0.203655,0.061955
North Carolina,2012,764610,1041859,6254266,0.052029,0.064652,0.001632,0.066658,0.166364,0.043587
North Dakota,2012,49581,96345,439830,0.039464,0.06952,0.001851,0.051912,0.140415,0.032568
Ohio,2012,925827,1235683,7496795,0.058139,0.08046,0.002152,0.073561,0.187621,0.057913
Oklahoma,2012,306820,426492,2381640,0.048571,0.060575,0.002031,0.051596,0.144292,0.040263
Oregon,2012,292050,411744,2606713,0.06904,0.089304,0.003964,0.095863,0.233868,0.103717
Pennsylvania,2012,951880,1397926,8449649,0.057396,0.084636,0.001893,0.068149,0.190136,0.043371
Rhode Island,2012,76543,132076,687705,0.081679,0.109022,0.003213,0.129528,0.297904,0.111836
South Carolina,2012,359524,519243,3047485,0.066522,0.070377,0.001794,0.071097,0.187513,0.048134
South Dakota,2012,64901,92359,523437,0.041988,0.06311,0.001748,0.051349,0.126812,0.036713
Tennessee,2012,505317,692825,4187386,0.051754,0.058955,0.001614,0.060432,0.150056,0.037693
Texas,2012,2295567,2964444,15777963,0.047877,0.063425,0.001673,0.058335,0.138797,0.036235
Utah,2012,275660,367327,1593468,0.035328,0.041354,0.001705,0.053532,0.109111,0.036834
