State,Year,Population_12_17,Population_18_25,Population_26plus,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Rates_Marijuana_Used_Past_Month_12_17,Rates_Marijuana_Used_Past_Month_18_25,Rates_Marijuana_Used_Past_Month_26plus
Idaho,2003,127839,168848,815805,0.065401,0.058319,0.001806,0.07293,0.11263,0.031254
Illinois,2003,1089901,1400520,7863343,0.061566,0.06527,0.001245,0.063355,0.166403,0.037179
Indiana,2003,546518,711380,3816240,0.057637,0.073332,0.001609,0.076125,0.146987,0.036302
Iowa,2003,243608,354296,1860596,0.052555,0.075162,0.001289,0.063757,0.130912,0.028953
Kansas,2003,237856,324390,1655732,0.060363,0.077109,0.001411,0.076294,0.136021,0.029683
Kentucky,2003,336908,453011,2611452,0.07309,0.053928,0.001616,0.087537,0.154658,0.045829
Louisiana,2003,403315,543941,2685275,0.058623,0.062845,0.001285,0.064466,0.149076,0.031175
Maine,2003,109954,134241,875886,0.072125,0.089526,0.001512,0.116931,0.240029,0.05421
Maryland,2003,485901,556047,3492188,0.063718,0.065503,0.001174,0.07422,0.180508,0.03242
Massachusetts,2003,512838,676402,4189790,0.072817,0.079163,0.001563,0.102753,0.261292,0.057023
Michigan,2003,902553,1108787,6328980,0.066869,0.074183,0.001517,0.087733,0.189878,0.049494
Minnesota,2003,442828,587599,3185052,0.06439,0.070807,0.001531,0.08081,0.161686,0.039921
Mississippi,2003,256982,349332,1720516,0.043881,0.057561,0.001234,0.056121,0.10953,0.026669
Missouri,2003,490972,642988,3583670,0.06897,0.076177,0.001723,0.08173,0.164714,0.043285
Montana,2003,79960,106615,588167,0.086342,0.089269,0.001511,0.100044,0.201614,0.054534
Nebraska,2003,150669,208757,1065283,0.061677,0.062505,0.001415,0.073885,0.143892,0.032371
Nevada,2003,192336,228424,1437719,0.068309,0.053245,0.001378,0.078151,0.15239,0.044945
New Hampshire,2003,114731,134285,839848,0.074487,0.09983,0.001536,0.103086,0.241357,0.060094
New Jersey,2003,733853,816302,5595385,0.06099,0.059783,0.001067,0.069495,0.176135,0.029026
New Mexico,2003,175489,218107,1142829,0.087619,0.073159,0.001223,0.119052,0.21102,0.057905
New York,2003,1571709,2047533,12344264,0.062796,0.076523,0.001218,0.08462,0.214597,0.049672
North Carolina,2003,701982,889092,5275688,0.064133,0.061962,0.001315,0.07391,0.153329,0.037514
